repo_name,discussion,title,number,state,timestamp,emoji,category,Label
codesandbox/codesandbox-client,https://github.com/codesandbox/codesandbox-client/discussions/1854,React Smooshpack 2 instances in 1 tab,1854,Unanswered,2019-05-06T14:44:12Z,,,Usage
spatie/laravel-activitylog,https://github.com/spatie/laravel-activitylog/discussions/724,How to change the log_name 'default'?,724,Answered,2020-05-03T17:19:19Z,🙏,Help,Usage
laravel/framework,https://github.com/laravel/framework/discussions/31778,New Custom Casting For Eloquent Models Has Excessive set() calls,31778,Unanswered,2020-03-05T17:22:00Z,,,Review
strapi/strapi,https://github.com/strapi/strapi/discussions/5768,Production build will not connect to MongoDB,5768,Answered,2020-04-10T17:02:20Z,,,Errors
strapi/strapi,https://github.com/strapi/strapi/discussions/6435,Cannot run Strapi on Heroku with mongodb (Atlas),6435,Unanswered,2020-05-29T15:00:07Z,,,Errors
laravel/framework,https://github.com/laravel/framework/discussions/33504,Instead of:,33504,Unanswered,2020-07-10T20:07:07Z,,,Other
vercel/next.js,https://github.com/vercel/next.js/discussions/14447,Hot reloading stops working after some time in components folder,14447,Unanswered,2020-06-22T13:29:45Z,🙏,Help,Errors
strapi/strapi,https://github.com/strapi/strapi/discussions/6554,Custom Route response returns as 404.,6554,Unanswered,2020-06-04T21:03:13Z,,,Errors
aws-amplify/amplify-js,https://github.com/aws-amplify/amplify-js/discussions/6271,User can access the app after disabled the user by admin in cognito (using aws-amplify-react-native),6271,Unanswered,2020-07-09T08:40:42Z,#️⃣,General,Usage
vercel/next.js,https://github.com/vercel/next.js/discussions/13417,Dynamic Import returns LoadableComponent instead of Module,13417,Answered,2020-05-26T22:40:41Z,🙏,Help,Errors
laravel/framework,https://github.com/laravel/framework/discussions/33223,Jobs error,33223,Unanswered,2020-06-15T16:56:36Z,,,Errors
clap-rs/clap,https://github.com/clap-rs/clap/discussions/1617,How to use clap without name or about message?,1617,Answered,2020-01-01T00:58:15Z,,,Review
vercel/next.js,https://github.com/vercel/next.js/discussions/12125,How to fix “Conflict: Multiple assets emit to the same filename” ?,12125,Unanswered,2020-04-23T06:12:51Z,,,Errors
vercel/next.js,https://github.com/vercel/next.js/discussions/13267,Callback after router navigation scroll to top,13267,Unanswered,2020-05-23T11:46:30Z,,,Conceptual
aws-amplify/amplify-js,https://github.com/aws-amplify/amplify-js/discussions/5831,Clarification: How can I know if the user received code while doing Auth.signUp in aws-amplify-react-native,5831,Unanswered,2020-05-19T13:26:18Z,,,Usage
nlohmann/json,https://github.com/nlohmann/json/discussions/2254,dump(): incorrect precision for float array,2254,Answered,2020-07-09T04:39:04Z,💖,Thanks,Review
strapi/strapi,https://github.com/strapi/strapi/discussions/6591,There is no info about database in installation documentation and CLI,6591,Answered,2020-06-08T19:22:38Z,,,Learning
clap-rs/clap,https://github.com/clap-rs/clap/discussions/1756,Getting the supplied order of long/short arguments,1756,Answered,2020-03-20T22:28:28Z,,,Review
strapi/strapi,https://github.com/strapi/strapi/discussions/4998,Global Authenticate issue - Facebook / Google / Local Provider,4998,Unanswered,2020-01-15T15:13:40Z,,,Errors
edgedb/edgedb,https://github.com/edgedb/edgedb/discussions/1309,Shift to Compiled Language for High Performance and Low Latency,1309,Answered,2020-03-27T06:29:59Z,🤔,Ideas,Plans
ionic-team/capacitor,https://github.com/ionic-team/capacitor/discussions/2665,Should the Push Notification Guide direct the user to subscribe to FCM token updates?,2665,Unanswered,2020-03-30T21:48:16Z,,,Review
tannerlinsley/react-query,https://github.com/tannerlinsley/react-query/discussions/417,refetchInterval doesn't work with multiple useQuery usages,417,Unanswered,2020-04-28T12:02:59Z,,,Errors
strapi/strapi,https://github.com/strapi/strapi/discussions/6034,Strapi sendGrid on Heroku - Bad Request - Auth.form.error.email.format,6034,Answered,2020-05-02T23:00:02Z,,,Errors
laravel/framework,https://github.com/laravel/framework/discussions/32808,Eloquent Custom Casts fire database queries on each save(),32808,Unanswered,2020-05-13T16:08:15Z,,,Errors
spatie/laravel-medialibrary,https://github.com/spatie/laravel-medialibrary/discussions/1945,Can't install package in lastest laravel,1945,Unanswered,2020-06-30T12:26:49Z,🙏,Help,Errors
google/jax,https://github.com/google/jax/discussions/3766,saving jax tensor in jitted function,3766,Unanswered,2020-07-15T13:16:58Z,,,Usage
scrumpy/tiptap,https://github.com/ueberdosis/tiptap/discussions/716,How can I make a custom button?,716,Unanswered,2020-05-27T07:41:06Z,,,Usage
starship/starship,https://github.com/starship/starship/discussions/52,Module visibility criteria,52,Unanswered,2019-05-14T21:06:56Z,,,Conceptual
laravel/framework,https://github.com/laravel/framework/discussions/32987,Pivot model can't have belongsToMany other model,32987,Answered,2020-05-27T13:27:23Z,,,Review
vercel/next.js,https://github.com/vercel/next.js/discussions/12499,Router.beforePopState not trigger when link to dynamic routes etc feed/[slug].js..,12499,Unanswered,2020-05-05T04:28:25Z,,,Discrepancy
vercel/next.js,https://github.com/vercel/next.js/discussions/12980,"Hi, how can solve abc.com/products/ not found",12980,Unanswered,2020-05-16T16:41:52Z,,,Errors
laravel/framework,https://github.com/laravel/framework/discussions/33186,Class 'Illuminate\Suppourt\Facades\DB' not found,33186,Answered,2020-06-11T16:25:14Z,,,Errors
spatie/laravel-query-builder,https://github.com/spatie/laravel-query-builder/discussions/473,Appending attributes based on scope,473,Answered,2020-05-08T11:28:04Z,🙏,Help,Review
strapi/strapi,https://github.com/strapi/strapi/discussions/6020,Development Server HTTP ERROR 426 with WSL2,6020,Answered,2020-05-01T08:25:16Z,,,Errors
tannerlinsley/react-table,https://github.com/tannerlinsley/react-table/discussions/2112,How do i get the count of the filtered rows and use that for displaying?,2112,Unanswered,2020-04-07T07:17:42Z,,,Misuse
spatie/laravel-backup,https://github.com/spatie/laravel-backup/discussions/1051,error when installing,1051,Answered,2020-03-24T22:39:30Z,🙏,Help,Errors
dotnet/aspnetcore,https://github.com/dotnet/aspnetcore/discussions/24099,Endpoint Routing does not support 'IApplicationBuilder.UseMvc(...),24099,Unanswered,2020-07-19T18:39:50Z,,,Errors
dotansimha/graphql-code-generator,https://github.com/dotansimha/graphql-code-generator/discussions/2516,[Plugin Request] Python Graphene,2516,Unanswered,2019-09-08T19:25:43Z,,,Learning
outline/outline,https://github.com/outline/outline/discussions/1324,Redirect loop at /undefined,1324,Unanswered,2020-06-29T21:49:04Z,,,Errors
tailwindcss/tailwindcss,https://github.com/tailwindcss/tailwindcss/discussions/1553,Is it possible to output inside style tags instead of an external css file?,1553,Answered,2020-04-10T01:14:58Z,,,Discrepancy
tokio-rs/tokio,https://github.com/tokio-rs/tokio/discussions/2668,doc: delay_unil with a passed instance,2668,Answered,2020-07-18T15:36:01Z,,,Conceptual
containrrr/watchtower,https://github.com/containrrr/watchtower/discussions/604,Support for Docker via WSL2?,604,Unanswered,2020-07-19T00:40:51Z,🙏,Help,Errors
apollographql/apollo-client,https://github.com/apollographql/apollo-client/discussions/6104,pollInterval is not working,6104,Unanswered,2020-04-02T07:54:07Z,,,Discrepancy
codesandbox/codesandbox-client,https://github.com/codesandbox/codesandbox-client/discussions/748,Embed live sessions?,748,Unanswered,2018-04-21T16:02:07Z,,,Discrepancy
vercel/next.js,https://github.com/vercel/next.js/discussions/15084,req.cookies is not able to parse cookie when multiple cookies are present,15084,Answered,2020-07-11T16:20:49Z,🙏,Help,Errors
strapi/strapi,https://github.com/strapi/strapi/discussions/6646,Files Upload,6646,Unanswered,2020-06-12T07:19:48Z,,,Discrepancy
laravel/framework,https://github.com/laravel/framework/discussions/33414,"Eloquent SQL Server Error, uniqueidentifier not accepted as string",33414,Unanswered,2020-07-02T19:22:35Z,,,Errors
tannerlinsley/react-query,https://github.com/tannerlinsley/react-query/discussions/358,Using Sockets,358,Unanswered,2020-04-16T08:35:37Z,,,Learning
vercel/next.js,https://github.com/vercel/next.js/discussions/14142,can't recognize when user visit page directly vs client-side navigation inside getServerSideProps,14142,Unanswered,2020-06-12T21:02:04Z,🙏,Help,Usage
aws-amplify/amplify-js,https://github.com/aws-amplify/amplify-js/discussions/5146,Triggering 'signUp' Event with Social Federation,5146,Unanswered,2020-03-19T11:59:25Z,,,Discrepancy
vercel/next.js,https://github.com/vercel/next.js/discussions/12667,Full page refresh on a dynamic route link instead of push in router state,12667,Unanswered,2020-05-09T18:27:59Z,,,Errors
strapi/strapi,https://github.com/strapi/strapi/discussions/5821,error: unknown option `--watch-admin',5821,Unanswered,2020-04-16T09:13:31Z,,,Errors
tannerlinsley/react-query,https://github.com/tannerlinsley/react-query/discussions/511,Prevent useErrorBoundary from mutate-level onError,511,Unanswered,2020-05-22T22:45:03Z,,,Review
strapi/strapi,https://github.com/strapi/strapi/discussions/6464,About roles problem,6464,Answered,2020-05-30T21:29:57Z,,,Errors
graphql/graphiql,https://github.com/graphql/graphiql/discussions/904,Discussion: Benchmarking,904,Unanswered,2019-07-04T14:02:50Z,,,Learning
spatie/laravel-query-builder,https://github.com/spatie/laravel-query-builder/discussions/455,Restrict includes by Pagination,455,Answered,2020-03-21T11:24:17Z,🙏,Help,Usage
react-spring/react-spring,https://github.com/react-spring/react-spring/discussions/902,Is there a way to set 100vw and 100vh for the style of child components while using useTransition?,902,Unanswered,2020-01-16T15:19:48Z,,,Usage
strapi/strapi,https://github.com/strapi/strapi/discussions/6495,strapi yarn2 failed with Can't resolve 'strapi-helper-plugin',6495,Unanswered,2020-06-01T16:44:35Z,,,Errors
