repo_name,discussion,title,number,state,timestamp,emoji,category,Label
react-spring/react-three-fiber,https://github.com/react-spring/react-three-fiber/discussions/584,How to deploy react-three-fiber application?,584,Unanswered,2020-07-21T16:26:51Z,,,Usage
tailwindcss/tailwindcss,https://github.com/tailwindcss/tailwindcss/discussions/1512,Anyone here who is using Tailwind and needs to support old browsers? What plugins do you use to get around?,1512,Unanswered,2020-03-30T10:46:26Z,,,Conceptual
vercel/next.js,https://github.com/vercel/next.js/discussions/14207,Serve different version of static file based on the environment,14207,Unanswered,2020-06-15T21:58:41Z,🙏,Help,Conceptual
tailwindcss/tailwindcss,https://github.com/tailwindcss/tailwindcss/discussions/1961,the button in sm: w-full,1961,Unanswered,2020-06-24T17:47:17Z,🙏,Help,Usage
vercel/next.js,https://github.com/vercel/next.js/discussions/13833,Head elements I added in layout.js and _app.js don't appear in exported HTML files.,13833,Unanswered,2020-06-06T05:58:39Z,🙏,Help,Review
vercel/next.js,https://github.com/vercel/next.js/discussions/13715,Using a single catch-all route for CMS pages,13715,Unanswered,2020-06-03T13:32:05Z,🙏,Help,Discrepancy
directus/directus,https://github.com/directus/directus/discussions/2708,V9 Release: when?,2708,Unanswered,2020-05-14T14:41:58Z,,,Plans
linkerd/linkerd2,https://github.com/linkerd/linkerd2/discussions/4684,thoughts on trace inferred metrics?,4684,Answered,2020-06-29T14:55:15Z,,,Usage
beakerbrowser/beaker,https://github.com/beakerbrowser/beaker/discussions/1743,HyperScript,1743,Unanswered,2020-06-15T11:49:53Z,,,Discrepancy
strapi/strapi,https://github.com/strapi/strapi/discussions/5962,queryTxt ETIMEOUT problem,5962,Answered,2020-04-26T21:55:42Z,,,Errors
vercel/next.js,https://github.com/vercel/next.js/discussions/10926,React ssr(next)-getInitialProps insert a reactNode to props render,10926,Unanswered,2020-03-10T08:29:27Z,,,Review
prisma/prisma,https://github.com/prisma/prisma/discussions/2678,Is the Prisma Client faster because of Rust?,2678,Answered,2020-06-06T18:19:02Z,🙏,Help,Conceptual
vercel/next.js,https://github.com/vercel/next.js/discussions/14412,"Flash of unstyled content (FOUC) , css modules and global css.",14412,Unanswered,2020-06-21T14:26:58Z,🙏,Help,Usage
laravel/framework,https://github.com/laravel/framework/discussions/33537,Add except method to Model,33537,Answered,2020-07-14T13:05:39Z,,,Learning
vercel/next.js,https://github.com/vercel/next.js/discussions/14919,Does NextJs have an official chat on Gitter or Discord,14919,Answered,2020-07-07T13:04:48Z,#️⃣,General,Learning
vercel/next.js,https://github.com/vercel/next.js/discussions/12325,Add custom attributes to the <body> tag,12325,Answered,2020-04-29T20:42:02Z,,,Usage
react-hook-form/react-hook-form,https://github.com/react-hook-form/react-hook-form/discussions/2004,"Disable the submit button after successful submission, until isDirty again",2004,Unanswered,2020-07-01T07:16:57Z,🙏,Help,Usage
vercel/next.js,https://github.com/vercel/next.js/discussions/12048,How to add script with generated [contenthash] from public folder?,12048,Unanswered,2020-04-20T14:07:41Z,,,Review
prisma/prisma,https://github.com/prisma/prisma/discussions/2372,"How to do ""connect"" updates on many-to-many relations?",2372,Unanswered,2020-05-05T09:45:08Z,,,Review
strapi/strapi,https://github.com/strapi/strapi/discussions/6911,Upload file during plugin entry creation,6911,Unanswered,2020-07-04T14:18:45Z,,,Errors
vercel/next.js,https://github.com/vercel/next.js/discussions/11342,API error in getStaticProps => build error?,11342,Unanswered,2020-03-25T08:00:48Z,,,Usage
vercel/next.js,https://github.com/vercel/next.js/discussions/14137,Adding a className attribute to body in _document.js,14137,Unanswered,2020-06-12T18:16:43Z,🙏,Help,Review
strapi/strapi,https://github.com/strapi/strapi/discussions/6103,How to add translation to strapi,6103,Answered,2020-05-07T11:29:52Z,,,Conceptual
vercel/next.js,https://github.com/vercel/next.js/discussions/13163,Exposing Types,13163,Unanswered,2020-05-20T21:01:45Z,🙏,Help,Usage
ImageMagick/ImageMagick,https://github.com/ImageMagick/ImageMagick/discussions/2007,[Help] Black artefacts when converting gif to images.,2007,Answered,2020-05-12T14:04:04Z,,,Errors
tannerlinsley/react-query,https://github.com/tannerlinsley/react-query/discussions/778,Optionally suppress errors in suspense mode on server-side,778,Unanswered,2020-07-17T19:25:14Z,,,Review
ImageMagick/ImageMagick,https://github.com/ImageMagick/ImageMagick/discussions/2002,Recognize edge-coordinates of different (always) rectangular objects,2002,Unanswered,2020-05-10T10:00:56Z,,,Discrepancy
eclipse-theia/theia,https://github.com/eclipse-theia/theia/discussions/7913,Can i change the default value of preferences parameter?,7913,Answered,2020-05-28T06:43:11Z,,,Discrepancy
spatie/laravel-activitylog,https://github.com/spatie/laravel-activitylog/discussions/752,Fail to install through composer,752,Answered,2020-07-15T03:03:59Z,🙏,Help,Versions
system-ui/theme-ui,https://github.com/system-ui/theme-ui/discussions/1038,Use of Them-UI components for native html elements,1038,Unanswered,2020-07-04T16:40:19Z,,,Discrepancy
react-hook-form/react-hook-form,https://github.com/react-hook-form/react-hook-form/discussions/1780,Documents hard to read,1780,Answered,2020-06-04T19:30:32Z,#️⃣,General,Conceptual
ImageMagick/ImageMagick,https://github.com/ImageMagick/ImageMagick/discussions/2205,Convert Error,2205,Unanswered,2020-06-27T23:33:32Z,🙏,Help,Errors
prisma/prisma,https://github.com/prisma/prisma/discussions/2680,"How to perform orderby,pagination and filter from user query.",2680,Answered,2020-06-06T18:52:36Z,🙏,Help,Discrepancy
storybookjs/storybook,https://github.com/storybookjs/storybook/discussions/11351,Storybook and monorepo,11351,Answered,2020-06-29T16:25:51Z,🙏,Help,Discrepancy
tannerlinsley/react-table,https://github.com/tannerlinsley/react-table/discussions/2405,Change table state variable for grouping,2405,Unanswered,2020-06-04T05:45:51Z,,,Discrepancy
vercel/vercel,https://github.com/vercel/vercel/discussions/4047,"Limit concurrent instances, like Scale on v1",4047,Answered,2020-04-11T14:43:30Z,,,Conceptual
strapi/strapi,https://github.com/strapi/strapi/discussions/6393,Is it possible to globally override response data on all routes?,6393,Answered,2020-05-27T16:13:07Z,,,Review
