repo_name,URL,domain,num_contributors,num_discussions,num_answered,num_from_issue,discussion_days,num_posts_median,stargazers_count,forks_count,size,open_issues_count,project_days,language,is_fork,is_private,is_archived,is_disabled,has_issues,has_wiki,has_projects,has_downloads
adonisjs/core,https://github.com/adonisjs/core,Web libraries and frameworks,41,108,65,2,15,3.5,8180,453,5543,25,1776,TypeScript,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
algolia/instantsearch.js,https://github.com/algolia/instantsearch.js,Web libraries and frameworks,77,7,0,0,93,4,2453,367,290947,91,1801,JavaScript,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
alpinejs/alpine,https://github.com/alpinejs/alpine,Web libraries and frameworks,70,81,47,0,80,4,9104,345,2750,36,210,JavaScript,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
ansible-community/molecule,https://github.com/ansible-community/molecule,Software tools,212,8,1,0,63,1,2768,486,12134,107,1681,Python,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
apache/couchdb,https://github.com/apache/couchdb,System software,160,59,40,33,59,4,4587,905,33783,232,4053,Erlang,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
apollographql/apollo-client,https://github.com/apollographql/apollo-client,Web libraries and frameworks,418,53,3,25,136,1,14118,1722,43097,625,1581,TypeScript,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
apollographql/apollo-server,https://github.com/apollographql/apollo-server,System software,376,10,2,0,84,1,9803,1415,39079,480,1526,TypeScript,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
ardatan/graphql-tools,https://github.com/ardatan/graphql-tools,Software tools,215,11,4,6,54,9,3436,509,21171,35,1556,TypeScript,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
aws-amplify/amplify-js,https://github.com/aws-amplify/amplify-js,Non-web libraries and frameworks,247,239,52,20,112,1,7050,1339,127965,646,997,TypeScript,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
babel/babel,https://github.com/babel/babel,Software tools,421,34,19,2,74,3,36878,4343,52949,792,2097,JavaScript,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
badges/shields,https://github.com/badges/shields,Web libraries and frameworks,365,5,3,0,37,2,11205,3017,38953,261,2703,JavaScript,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
beakerbrowser/beaker,https://github.com/beakerbrowser/beaker,Application software,53,49,21,0,81,3,5473,456,40580,157,1492,JavaScript,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
blitz-js/blitz,https://github.com/blitz-js/blitz,Web libraries and frameworks,73,20,8,6,79,9.5,3145,141,8081,87,129,TypeScript,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
BurntSushi/ripgrep,https://github.com/BurntSushi/ripgrep,Software tools,250,31,30,3,108,3,20398,900,3789,55,1567,Rust,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
cake-build/cake,https://github.com/cake-build/cake,Software tools,181,1,1,0,49,6,2542,612,9261,351,2225,C#,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
cdnjs/cdnjs,https://github.com/cdnjs/cdnjs,Software tools,385,0,0,0,0,0,8627,4367,11491536,10,3408,None,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
chocolatey/choco,https://github.com/chocolatey/choco,Software tools,78,1,0,0,15,1,6686,676,22766,693,2004,C#,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
clap-rs/clap,https://github.com/clap-rs/clap,Non-web libraries and frameworks,241,59,55,17,121,5,4449,423,10463,175,1947,Rust,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
codesandbox/codesandbox-client,https://github.com/codesandbox/codesandbox-client,System software,241,42,17,14,106,2,9531,1482,281849,639,1276,JavaScript,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
concourse/concourse,https://github.com/concourse/concourse,Software tools,323,88,33,19,121,4,5035,620,106844,751,2259,Go,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
containerd/containerd,https://github.com/containerd/containerd,System software,238,2,1,2,0,5,5753,1194,58727,126,1686,Go,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
containrrr/watchtower,https://github.com/containrrr/watchtower,Software tools,71,17,9,11,59,5,5997,370,5635,26,1809,Go,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
crate/crate,https://github.com/crate/crate,System software,63,4,0,2,1,1,2763,388,102637,122,2633,Java,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
date-fns/date-fns,https://github.com/date-fns/date-fns,Web libraries and frameworks,252,11,6,3,71,2,22695,1015,13298,213,2089,JavaScript,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
davidkpiano/xstate,https://github.com/davidkpiano/xstate,Application software,157,66,37,6,59,4,12105,481,27400,106,1746,TypeScript,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
directus/directus,https://github.com/directus/directus,Application software,72,106,48,0,94,3,6947,671,153419,1,2752,PHP,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
dotansimha/graphql-code-generator,https://github.com/dotansimha/graphql-code-generator,Application software,219,45,21,17,92,3,4961,478,48488,116,1298,TypeScript,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
dotnet/aspnetcore,https://github.com/dotnet/aspnetcore,Web libraries and frameworks,343,126,22,11,71,2,18050,5037,307973,2440,2298,C#,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
